date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;
06132026-00:13:53;4.76649;4.76648908;4.76648547;4.7664899;4.7664824;4.7664884;4.7664754;4.7664916;4.766259;4.766487;1.86943e-07;4.3677e-07;2.51095e-07;8.83176e-07;3.26599e-07;2.16025e-07;6.12826e-07;1.41421e-06;8.16497e-07;34.0;35.3;38.3;23.0;23.0;23.420;45.8;1000.19;
06132026-00:16:13;7.082445;7.08244437;7.08243917;7.0824454;7.0824326;7.0824439;7.0824277;7.0824528;7.082364;7.082438;7.19182e-08;1.2826e-07;5.36295e-07;2.35702e-07;1.69967e-07;3.74166e-07;1.13137e-06;4.49691e-06;1.24722e-06;34.0;35.3;38.3;23.0;23.0;23.540;45.8;1000.16;
06132026-00:18:32;-5.77725;-5.77725087;-5.77724828;-5.77725198;-5.7772429;-5.7772528;-5.7772426;-5.7772681;-5.777453;-5.777274;5.13718e-07;1.51933e-07;9.31773e-08;8.49837e-07;3.68179e-07;5.35413e-07;0;1.24722e-06;1.41421e-06;34.0;35.3;38.3;23.0;23.0;23.400;45.6;1000.18;
06132026-00:20:52;8.119905;8.11990422;8.11989786;8.11990545;8.1198904;8.1199055;8.119887;8.1199159;8.119863;8.1199;2.57321e-07;7.67738e-08;1.40479e-07;7.7603e-07;8.16497e-08;9.42809e-08;1.17851e-06;3.39935e-06;3.55903e-06;34.0;35.2;38.3;23.0;23.0;23.240;45.6;1000.21;
06132026-00:23:11;10.400452;10.4004519;10.4004442;10.4004526;10.4004349;10.4004528;10.400437;10.400471;10.400367;10.400445;4.33769e-07;6.28861e-07;2.9556e-07;1.30979e-06;5.55778e-07;4.71405e-07;8.16497e-07;3.09121e-06;9.42809e-07;34.1;35.4;38.3;23.0;23.0;23.190;45.6;1000.25;
06132026-00:25:31;3.423399;3.423399;3.4233963;3.42339964;3.4233933;3.4233962;3.4233894;3.4233991;3.423167;3.423392;6.85901e-07;2.90077e-07;3.58814e-07;6.54896e-07;1.88562e-07;4.18994e-07;6.12826e-07;1.24722e-06;4.71405e-07;34.1;35.4;38.3;23.0;23.0;23.000;45.6;1000.17;
06132026-00:27:50;10.34851;10.3485091;10.3485018;10.3485094;10.3484923;10.3485105;10.348495;10.348528;10.348426;10.348501;1.23648e-07;3.22594e-07;2.09284e-07;5.24934e-07;2.94392e-07;4.71405e-07;1.24722e-06;2.49444e-06;1.88562e-06;34.1;35.3;38.3;23.0;23.0;23.090;45.7;1000.20;
06132026-00:30:09;0.209362;0.20936172;0.209361343;0.209362253;0.2093613;0.2093583;0.2093621;0.2093593;0.209357;0.209357;4.63962e-07;5.14682e-07;2.02623e-07;6.18241e-07;1.88562e-07;2.94392e-07;1.17851e-06;1.69967e-06;2.82843e-06;34.1;35.4;38.3;23.0;23.0;23.270;45.8;1000.31;
06132026-00:32:29;-2.847814;-2.84781442;-2.84781339;-2.84781469;-2.8478091;-2.8478168;-2.8478108;-2.8478251;-2.847927;-2.847824;2.35164e-07;2.42262e-07;1.58015e-07;9.39267e-07;3.09121e-07;2.82843e-07;2.00056e-06;4.18994e-06;2.16025e-06;34.0;35.3;38.3;23.0;23.0;23.470;45.8;1000.29;
06132026-00:34:48;-2.268118;-2.26811874;-2.26811788;-2.26811905;-2.2681152;-2.268121;-2.2681164;-2.2681298;-2.268178;-2.268126;3.30528e-07;1.76266e-07;1.58015e-07;2.16025e-07;1.24722e-07;6.59966e-07;5.65685e-07;2.0548e-06;1.41421e-06;34.0;35.3;38.3;23.0;23.0;23.600;45.7;1000.39;
