date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;Unnamed: 28
06132026-23:22:00;-0.199941;-0.199941128;-0.199940321;-0.199940123;-0.19994044;-0.199942335;-0.19994079;-0.19994205;-0.19994174;-0.19993901;4.59813e-08;8.79059e-08;6.64927e-08;1.56295e-07;2.39115e-08;7.4458e-08;1.26712e-07;6.72309e-08;5.67803e-08;35.1;36.5;39.6;23.0;23.0;24.77;44.5;999.43;
06142026-08:39:57;-0.199762;-0.199762121;-0.199761338;-0.199761325;-0.199761345;-0.199763434;-0.19976186;-0.19976346;-0.19976243;-0.19975995;5.93679e-08;6.35552e-08;3.41495e-08;1.21909e-07;4.42927e-08;1.03228e-07;2.50599e-07;2.09762e-08;4.97996e-08;35.9;37.4;40.6;23.0;23.0;24.8;43.3;998.18;
06142026-00:29:14;-0.198098;-0.198098089;-0.198097354;-0.198097198;-0.198097619;-0.198099429;-0.19809773;-0.19809943;-0.19809812;-0.19809592;5.14594e-08;5.16029e-08;6.77056e-08;9.46032e-08;2.51364e-08;4.19524e-08;1.67499e-07;3.54401e-08;2.60768e-08;35.1;36.4;39.6;23.0;23.0;24.08;44.8;998.54;
06142026-08:01:32;-0.197189;-0.197189079;-0.197188358;-0.197188281;-0.197188338;-0.19719035;-0.19718888;-0.19719021;-0.1971893;-0.1971871;4.71796e-08;5.27797e-08;1.56463e-07;4.65635e-08;5.87932e-08;1.11964e-07;2.26239e-07;6.88767e-08;4.70744e-08;35.8;37.3;40.4;23.0;23.0;25.54;43.2;998.73;
06142026-05:11:52;-0.195599;-0.195599149;-0.195598433;-0.195598259;-0.195598432;-0.195600441;-0.19559887;-0.19560046;-0.19559931;-0.19559707;1.706e-07;4.66239e-08;5.66175e-08;1.08548e-07;2.00459e-08;5.4037e-08;2.12e-07;3.96989e-08;3.65513e-08;35.4;36.7;39.9;23.0;23.0;24.36;43.8;997.57;
06132026-20:09:00;-0.194013;-0.194013011;-0.194012306;-0.194012227;-0.194012559;-0.194014328;-0.19401265;-0.19401413;-0.19401364;-0.19401146;4.00378e-08;1.08582e-07;8.28389e-08;8.68249e-08;5.32856e-08;7.75629e-08;1.66325e-07;6.85274e-08;1.72047e-08;34.8;36.3;39.4;23.0;23.0;24.35;45.0;999.11;
06142026-11:14:32;-0.193948;-0.193948152;-0.19394739;-0.193947304;-0.193947421;-0.193949371;-0.19394797;-0.19394902;-0.19394852;-0.19394604;2.90654e-08;4.69631e-08;8.20913e-08;5.41369e-08;2.36085e-08;5.96657e-08;2.56484e-07;6.28013e-08;1.62481e-08;36.0;37.5;40.8;23.0;23.0;25.44;43.2;997.33;
06142026-02:35:00;-0.190052;-0.190052188;-0.190051286;-0.190051263;-0.190051633;-0.190053301;-0.19005188;-0.19005294;-0.19005232;-0.19005017;2.89648e-08;8.98723e-08;3.34241e-08;1.05595e-07;1.23548e-08;1.01074e-07;2.56484e-07;7.75629e-08;3.92938e-08;35.1;36.4;39.6;23.0;23.0;24.6;44.6;997.66;
06142026-03:29:25;-0.188922;-0.188922097;-0.188921461;-0.188921323;-0.188921523;-0.188923378;-0.18892187;-0.18892336;-0.18892235;-0.18892024;9.50604e-08;2.87439e-08;5.16402e-08;1.93885e-07;3.20537e-08;9.1214e-08;2.2668e-07;2.92575e-08;3.48712e-08;35.2;36.6;39.8;23.0;23.0;24.44;43.9;997.07;
06142026-02:12:35;-0.188279;-0.18827916;-0.188278306;-0.188278265;-0.188278666;-0.188280325;-0.18827895;-0.18828032;-0.18827917;-0.18827729;5.31819e-08;5.8602e-08;2.23485e-08;8.62703e-08;1.70012e-08;5.88558e-08;2.10181e-07;4.70744e-08;2.92575e-08;35.1;36.3;39.5;23.0;23.0;24.72;44.7;997.16;
06132026-21:41:51;-0.186217;-0.186217106;-0.186216349;-0.186216343;-0.186216583;-0.186218298;-0.18621679;-0.18621796;-0.1862177;-0.18621553;5.83302e-08;5.68775e-08;3.51108e-08;1.42784e-07;1.60947e-08;9.15205e-08;2.13129e-07;2.78568e-08;3.96989e-08;35.0;36.4;39.5;23.0;23.0;24.73;44.8;1002.03;
06142026-12:12:09;-0.185084;-0.185084157;-0.185083343;-0.185083348;-0.185083498;-0.185085344;-0.18508386;-0.1850852;-0.18508428;-0.18508211;3.69328e-08;8.99737e-08;4.05799e-08;1.43397e-07;1.11535e-08;6.76461e-08;1.80178e-07;4.996e-08;3.16228e-08;36.0;37.6;40.8;23.0;23.0;25.52;43.3;997.44;
06132026-23:50:49;-0.183798;-0.183798133;-0.183797365;-0.183797297;-0.183797541;-0.183799257;-0.18379779;-0.18379913;-0.18379838;-0.18379626;5.79752e-08;6.71126e-08;1.55409e-07;1.26332e-07;1.86054e-08;8.54166e-08;2.4128e-07;4.27083e-08;3.00666e-08;35.1;36.5;39.7;23.0;23.0;24.61;44.5;998.85;
06142026-11:20:56;-0.182049;-0.18204912;-0.182048321;-0.182048368;-0.182048462;-0.182050328;-0.18204895;-0.18205045;-0.1820491;-0.1820474;5.1636e-08;5.05145e-08;8.2978e-08;1.53828e-07;2.4377e-08;1.14368e-07;2.94306e-07;5.32917e-08;3.2e-08;36.0;37.6;40.8;23.0;23.0;25.55;43.2;997.46;
06142026-06:15:54;-0.180219;-0.180219267;-0.180218352;-0.180218353;-0.180218675;-0.180220287;-0.18021895;-0.18022018;-0.18021929;-0.18021734;2.07058e-08;8.49257e-08;8.62216e-08;5.99653e-08;9.06863e-09;5.004e-08;1.44083e-07;6.17738e-08;2.68328e-08;35.5;36.9;40.1;23.0;23.0;24.91;43.8;997.65;
06132026-23:12:23;-0.17892;-0.178920169;-0.178919405;-0.178919344;-0.178919694;-0.178921208;-0.17891977;-0.17892128;-0.1789209;-0.17891838;4.25752e-08;1.29002e-07;7.69783e-08;1.08024e-07;1.73274e-08;4.85798e-08;1.39943e-07;5.004e-08;4.02989e-08;35.1;36.5;39.6;23.0;23.0;24.6;44.6;999.5;
06142026-09:50:22;-0.17876;-0.178760099;-0.178759568;-0.178759419;-0.178759667;-0.178761367;-0.17876006;-0.17876138;-0.17876042;-0.17875849;8.31819e-08;3.94147e-08;3.99061e-08;7.06569e-08;1.58619e-08;8.60233e-08;2.09227e-07;3.31059e-08;4.26146e-08;36.1;37.6;40.7;23.0;23.0;25.04;42.9;997.6;
