date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;Unnamed: 28
06132026-10:39:20;-2.091945;-2.09194616;-2.09194511;-2.09194646;-2.09195039;-2.0919489;-2.0919451;-2.09196;-2.0919425;-2.091938;1.92113e-07;2.09171e-07;1.57392e-07;2.72764e-07;2.62467e-07;1.69967e-07;9.79796e-07;1.24722e-07;9.42809e-08;34.2;35.6;38.8;23.0;23.0;23.38;44.9;1001.13;
06132026-12:30:46;-2.082749;-2.08275024;-2.08274936;-2.08275019;-2.08275474;-2.0827525;-2.082748;-2.0827613;-2.0827461;-2.082742;1.5166e-07;4.28956e-07;1.50295e-07;1.06249e-07;2.0548e-07;1.24722e-07;5.65685e-07;2.35702e-07;8.16497e-08;34.0;35.4;38.6;23.0;23.0;22.87;45.8;1001.15;
06132026-15:50:27;-2.081957;-2.08195836;-2.08195757;-2.08195794;-2.08196226;-2.08196;-2.0819553;-2.0819706;-2.0819563;-2.08195;2.43464e-07;2.21739e-07;1.97208e-07;1.48399e-07;2.16025e-07;4.71405e-08;1.02089e-06;1.21929e-06;2.94392e-07;33.9;35.2;38.4;23.0;23.0;22.87;46.0;1000.04;
06132026-11:21:07;-2.06158;-2.06158099;-2.06158026;-2.06158121;-2.06158551;-2.061584;-2.0615791;-2.0615934;-2.0615773;-2.0615729;1.76411e-07;3.36881e-08;1.79958e-07;1.91891e-07;2.0548e-07;2.62467e-07;1.02089e-06;1.24722e-07;8.16497e-08;34.2;35.6;38.9;23.0;23.0;23.03;45.4;1001.25;
06132026-11:11:50;-1.994541;-1.99454223;-1.99454125;-1.99454245;-1.99454626;-1.9945449;-1.9945405;-1.9945534;-1.9945372;-1.9945344;1.07444e-07;4.11582e-08;2.36187e-07;1.49889e-07;2.16025e-07;4.71405e-08;1.49666e-06;6.94422e-07;2.0548e-07;34.4;35.8;38.9;23.0;23.0;23.23;45.2;1001.22;
06132026-13:54:21;-1.975654;-1.97565526;-1.97565445;-1.97565509;-1.97565912;-1.9756572;-1.9756528;-1.9756671;-1.9756511;-1.9756464;6.5301e-08;1.77122e-07;2.23506e-07;1.94422e-07;1.69967e-07;1.24722e-07;9.79796e-07;4.49691e-07;1.24722e-07;34.0;35.3;38.6;23.0;23.0;22.82;45.9;1000.24;
06132026-17:41:54;-1.960908;-1.96090919;-1.96090792;-1.9609102;-1.96091264;-1.9609105;-1.9609077;-1.9609207;-1.9609047;-1.9609011;3.29983e-08;1.61865e-07;1.11215e-07;2.45357e-07;5.71548e-07;2.0548e-07;5.65685e-07;7.7603e-07;1.88562e-07;34.9;36.5;39.7;23.0;23.0;24.63;44.3;999.6;
06132026-17:04:45;-1.91692;-1.9169214;-1.91691974;-1.91692151;-1.91692463;-1.9169229;-1.9169195;-1.9169324;-1.9169176;-1.9169139;1.32706e-07;1.43007e-07;3.16819e-07;2.16692e-07;3.77124e-07;9.42809e-08;1.54128e-06;5.31246e-07;2.16025e-07;34.5;36.0;39.0;23.0;23.0;24.27;44.8;999.71;
06132026-15:17:56;-1.904743;-1.90474389;-1.90474363;-1.90474383;-1.90474803;-1.9047469;-1.9047415;-1.9047541;-1.9047413;-1.9047366;2.02366e-07;1.09366e-07;8.39563e-08;2.16025e-07;4.71405e-07;1.41421e-07;9.79796e-07;2.49444e-07;1.69967e-07;33.9;35.2;38.5;23.0;23.0;23.17;46.1;1000.02;
06132026-15:24:54;-1.890123;-1.89012409;-1.89012363;-1.89012412;-1.89012849;-1.8901259;-1.8901212;-1.890135;-1.8901197;-1.890117;1.40562e-07;1.07778e-07;9.53636e-08;4.78423e-08;2.62467e-07;3.26599e-07;5.65685e-07;5.88784e-07;9.42809e-08;33.9;35.3;38.5;23.0;23.0;22.77;46.0;1000.08;
06132026-18:09:45;-1.882974;-1.88297557;-1.882974;-1.88297625;-1.88297856;-1.8829774;-1.8829736;-1.8829864;-1.8829697;-1.8829683;6.2377e-08;1.55546e-07;1.2501e-07;2.0548e-08;3.68179e-07;2.94392e-07;6.12826e-07;2.82843e-07;8.16497e-08;35.1;36.5;39.8;23.0;23.0;24.32;44.5;999.57;
06132026-10:57:54;-1.882514;-1.88251531;-1.88251441;-1.88251556;-1.88251924;-1.8825178;-1.8825139;-1.8825274;-1.8825111;-1.882508;4.58476e-08;3.72756e-07;1.48656e-07;1.75689e-07;3.55903e-07;9.42809e-08;1.49666e-06;4.92161e-07;2.94392e-07;34.3;35.7;38.8;23.0;23.0;23.69;45.3;1001.17;
06132026-11:00:13;-1.879648;-1.87964917;-1.87964831;-1.87964959;-1.87965317;-1.8796516;-1.8796481;-1.8796596;-1.8796448;-1.8796423;2.16487e-08;3.903e-07;2.08425e-07;2.31709e-07;3.09121e-07;2.16025e-07;5.65685e-07;2.0548e-07;1.24722e-07;34.3;35.7;38.8;23.0;23.0;23.74;45.2;1001.22;
06132026-13:45:04;-1.836264;-1.83626527;-1.83626442;-1.83626504;-1.83626913;-1.8362673;-1.8362628;-1.836276;-1.8362595;-1.8362584;7.19182e-08;8.20826e-08;3.87183e-07;2.5807e-07;9.42809e-08;2.82843e-07;6.12826e-07;1.88562e-07;1.24722e-07;34.0;35.3;38.5;23.0;23.0;23.2;45.9;1000.37;
06132026-13:52:02;-1.833537;-1.83353841;-1.83353769;-1.83353802;-1.83354207;-1.8335399;-1.8335358;-1.8335488;-1.8335319;-1.8335315;1.17008e-07;1.60956e-07;1.3788e-07;1.96695e-07;2.0548e-07;2.49444e-07;1.13137e-06;1.69967e-07;1.88562e-07;34.0;35.4;38.6;23.0;23.0;22.88;45.9;1000.3;
06132026-10:23:04;-1.797262;-1.79726348;-1.7972624;-1.79726342;-1.79726731;-1.7972659;-1.7972622;-1.7972759;-1.7972577;-1.7972567;1.08094e-07;2.39835e-07;3.8117e-07;3.22938e-07;1.24722e-07;1.24722e-07;1.54128e-06;2.16025e-07;2.0548e-07;34.2;35.6;38.8;23.0;23.0;23.09;45.0;1001.06;
06132026-10:55:35;-1.797232;-1.79723334;-1.7972325;-1.7972334;-1.79723707;-1.797236;-1.7972321;-1.797244;-1.7972281;-1.7972265;1.0525e-07;3.25255e-07;2.44165e-07;1.69771e-07;1.24722e-07;4.49691e-07;5.65685e-07;1.24722e-07;1.24722e-07;34.3;35.7;38.8;23.0;23.0;23.51;45.3;1001.22;
06132026-15:41:10;-1.783518;-1.7835193;-1.78351849;-1.78351894;-1.78352293;-1.7835217;-1.7835168;-1.7835307;-1.7835166;-1.7835124;1.94827e-07;1.65782e-07;1.42887e-07;1.22565e-07;4.49691e-07;9.42809e-08;1.02089e-06;5.65685e-07;3.39935e-07;33.9;35.2;38.4;23.0;23.0;23.06;46.3;1000.15;
06132026-10:06:49;-1.775999;-1.77600023;-1.77599937;-1.77600066;-1.77600418;-1.7760032;-1.7759993;-1.7760112;-1.7759957;-1.7759942;2.21829e-07;1.01929e-07;2.66103e-07;1.81537e-07;1.24722e-07;2.16025e-07;1.17851e-06;9.42809e-08;2.62467e-07;34.4;35.8;38.9;23.0;23.0;23.55;44.7;1000.92;
06132026-14:31:30;-1.775748;-1.77574909;-1.77574858;-1.77574935;-1.77575303;-1.7757517;-1.7757468;-1.7757602;-1.7757456;-1.7757432;1.29623e-07;2.30679e-07;1.35051e-07;1.52534e-07;3.55903e-07;1.69967e-07;0.0;5.90668e-07;9.42809e-08;34.1;35.5;38.6;23.0;23.0;22.66;46.1;999.9;
06132026-10:43:58;-1.755603;-1.75560435;-1.75560334;-1.75560433;-1.75560784;-1.755607;-1.7556026;-1.7556157;-1.7556004;-1.7555981;1.64992e-08;1.36688e-07;1.37485e-07;9.42809e-09;2.49444e-07;1.69967e-07;1.17851e-06;1.41421e-07;1.69967e-07;34.2;35.6;38.8;23.0;23.0;23.19;45.0;1001.22;
06132026-13:47:23;-1.742517;-1.7425181;-1.74251751;-1.74251806;-1.74252222;-1.7425199;-1.7425156;-1.7425279;-1.7425157;-1.7425122;1.90278e-07;2.22045e-16;1.8265e-07;3.55903e-08;2.49444e-07;2.49444e-07;1.54128e-06;2.62467e-07;1.24722e-07;34.0;35.3;38.5;23.0;23.0;23.06;45.9;1000.32;
06132026-12:02:54;-1.739268;-1.73926901;-1.73926829;-1.73926921;-1.73927311;-1.7392718;-1.7392673;-1.739278;-1.7392663;-1.7392632;1.36434e-07;1.08894e-07;2.21829e-07;1.04243e-07;2.35702e-07;2.62467e-07;1.69706e-06;1.24722e-07;3.29983e-07;34.1;35.4;38.7;23.0;23.0;22.74;45.9;1001.39;
06132026-13:26:29;-1.72504;-1.72504092;-1.72504077;-1.72504094;-1.72504503;-1.7250433;-1.7250387;-1.7250506;-1.7250388;-1.7250349;2.32469e-07;2.24814e-07;3.31218e-07;2.49132e-07;3.68179e-07;1.24722e-07;1.13137e-06;2.94392e-07;9.42809e-08;34.0;35.4;38.6;23.0;23.0;22.83;45.9;1000.43;
