date;source;duta;dutb;temp;temp2;
10202018-11:34:49;-10.90;-10.900002580;-10.900005430;35.0;34.0;
10202018-11:36:01;-10.80;-10.800002820;-10.800005810;35.0;34.0;
10202018-11:37:13;-10.70;-10.700002790;-10.700006050;35.0;34.0;
10202018-11:38:26;-10.60;-10.600003170;-10.600006020;35.0;33.9;
10202018-11:39:38;-10.50;-10.500003210;-10.500005940;35.0;34.0;
10202018-11:40:50;-10.40;-10.400004130;-10.400006070;35.1;33.9;
10202018-11:42:03;-10.30;-10.300003420;-10.300006210;35.1;33.9;
10202018-11:43:15;-10.20;-10.200003870;-10.200006200;35.1;34.0;
10202018-11:44:27;-10.10;-10.100003330;-10.100006350;35.1;34.0;
10202018-11:45:40;-10.00;-10.000003350;-10.000006440;35.0;34.0;
10202018-11:46:52;-9.90;-9.900002258;-9.900006733;35.0;34.0;
10202018-11:48:04;-9.80;-9.800002514;-9.800006794;35.0;34.0;
10202018-11:49:17;-9.70;-9.700002734;-9.700006961;35.0;34.0;
10202018-11:50:29;-9.60;-9.600002510;-9.600006409;35.0;34.0;
10202018-11:51:41;-9.50;-9.500002552;-9.500006751;35.0;34.0;
10202018-11:52:54;-9.40;-9.400003128;-9.400006374;35.0;33.9;
10202018-11:54:06;-9.30;-9.300002815;-9.300006156;35.0;34.0;
10202018-11:55:18;-9.20;-9.200002733;-9.200006340;35.0;33.9;
10202018-11:56:31;-9.10;-9.100002686;-9.100006104;35.0;34.0;
10202018-11:57:43;-9.00;-9.000002942;-9.000006148;35.0;34.0;
10202018-11:58:55;-8.90;-8.900003144;-8.900005771;35.0;33.9;
10202018-12:00:08;-8.80;-8.800002973;-8.800005325;35.0;33.9;
10202018-12:01:20;-8.70;-8.700002696;-8.700006122;35.0;33.9;
10202018-12:02:32;-8.60;-8.600003556;-8.600005938;35.0;33.9;
10202018-12:03:45;-8.50;-8.500002905;-8.500006105;35.0;33.9;
10202018-12:04:57;-8.40;-8.400002592;-8.400005886;35.0;33.9;
10202018-12:06:09;-8.30;-8.300002421;-8.300005300;35.0;33.9;
10202018-12:07:22;-8.20;-8.200002588;-8.200005343;35.0;33.9;
10202018-12:08:34;-8.10;-8.100002915;-8.100005422;35.0;33.9;
10202018-12:09:46;-8.00;-8.000003206;-8.000005642;35.0;33.9;
10202018-12:10:59;-7.90;-7.900002804;-7.900005983;35.0;34.0;
10202018-12:12:11;-7.80;-7.800002668;-7.800005940;35.0;34.0;
10202018-12:13:23;-7.70;-7.700003582;-7.700006211;35.0;34.0;
10202018-12:14:36;-7.60;-7.600003109;-7.600005275;35.0;34.0;
10202018-12:15:48;-7.50;-7.500003044;-7.500005108;35.0;33.9;
10202018-12:17:00;-7.40;-7.400003122;-7.400004960;35.0;33.9;
10202018-12:18:13;-7.30;-7.300003467;-7.300004583;35.0;33.9;
10202018-12:19:25;-7.20;-7.200003029;-7.200004417;35.0;33.9;
10202018-12:20:38;-7.10;-7.100003463;-7.100004339;35.0;33.9;
10202018-12:21:50;-7.00;-7.000003203;-7.000004313;35.0;33.9;
10202018-12:23:02;-6.90;-6.900002765;-6.900004497;35.0;33.9;
